"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC_USR_08 - problem_user sees products listed on inventory page","webkit","2026-05-28","skipped","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","5530","TC_VIS_11 - product items visible on mobile viewport (375×667)","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","7927","each product has a non-empty name","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","7517","TC_NAV_09 - Logout link logs the user out","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5032","TC_VIS_04 - login button is of type submit","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","5691","TC_VIS_15 - no horizontal overflow on 1280px desktop viewport","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","6290","TC_VIS_01 - login page has correct document title","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","9611","TC_E2E_11 - cart badge gone after order is placed","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","10763","TC_E2E_12 - full flow: product detail → cart → checkout → complete","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","7043","TC_E2E_05 - remove an item from cart before checkout","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6307","TC_VIS_12 - sort dropdown default value is ""az"" (A to Z)","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","8860","TC_USR_01 - standard_user logs in and sees Products page","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","5018","cart page title is ""Your Cart""","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","13096","TC_NAV_08 - About link navigates to Sauce Labs site","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","10365","TC_NAV_01 - header wrapper is visible","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","6711","TC_E2E_05 - remove an item from cart before checkout","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","7054","TC_NAV_04 - clicking burger opens the sidebar","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","9800","TC_USR_02 - standard_user can add all items to cart without errors","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6957","TC_NAV_02 - Swag Labs logo is visible in header","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","10234","removing an item from cart works","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","8264","TC_E2E_13 - user can log out from inventory","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
